,photoid,specid,ra,dec,z,dl,logstmass,logsfr,envflag
6666,1237662300834758789,1596692421750581248,241.235138,34.595971,0.031487,138.104,10.33,-0.0643,2
6667,1237662195592331426,1612455567870158848,160.856075,40.774212,0.030349,133.003,10.8636,-2.7605,2
6668,1237661435384365240,1640532698692872192,192.665965,47.933419,0.029494,129.171,10.5869,-3.7829,2
6669,1237665129066070264,2188905056588294144,145.729779,28.980767,0.02839,124.237,10.9741,-2.1587,2
6670,1237665352391459052,2402794985922521088,218.051445,28.556793,0.030209,132.372,10.5791,0.4444,2
6671,1237658422477389992,1122590972467767296,153.819454,5.386954,0.031245,137.017,10.3972,-0.2653,2
6673,1237667444045185104,2514259076179847168,186.021785,28.308918,0.030557,133.933,10.3751,-4.0868,2
6674,1237667444589592631,2528885053421807616,205.440935,27.106349,0.028781,125.981,10.1587,-2.9148,2
6675,1237667292652830833,2576089285484636160,139.794453,19.813925,0.029283,128.23,10.1061,-4.1812,2
6676,1237667730200264899,2739486885884749824,135.595171,14.525246,0.030081,131.799,10.7215,-1.9108,2
6677,1237667781740331041,2740541867392264192,135.648908,14.437022,0.029199,127.854,10.1665,-3.4717,2
6678,1237667781741707361,2745075157692344320,138.870463,15.314479,0.03022,132.425,10.2567,-3.9073,2
6679,1237668587041980478,2797911916100478976,165.193932,17.587533,0.029304,128.32,10.9469,0.0117,2
6681,1237670965392375878,2917316129493903360,155.984698,17.76579,0.028265,123.676,10.0793,-4.0573,2
6682,1237668624086007817,2922845299716155392,184.47299,17.44211,0.030066,131.736,10.8806,-3.4737,2
6683,1237662663743832104,1851092474416621568,216.016475,36.401067,0.02841,124.325,10.5608,-3.8217,2
6684,1237662663208140812,1852240365025781760,218.826592,35.118738,0.028434,124.432,10.4675,0.2536,2
6685,1237665357230047757,1894931382304532480,243.820992,34.058757,0.029871,130.859,10.0519,-4.1894,2
6687,1237662530606203025,1927702053086324736,221.669642,12.605092,0.030386,133.167,10.3312,-2.2269,2
6688,1237667782849396901,3124380838788098048,220.504273,18.641549,0.030777,134.919,10.298,-3.9912,2
6689,1237664853104328884,2283483679684585472,207.496711,35.253907,0.028738,125.793,10.156,-0.7796,2
6690,1237655124465418390,940186109743228928,168.58393,4.020633,0.029239,128.032,10.2508,-3.4986,2
6691,1237655502425948523,1101223333455751168,257.910361,31.173557,0.030179,132.24,10.0106,-4.2249,2
6692,1237655374647001192,920012546197448704,248.78281,40.991397,0.030048,131.653,10.5686,-2.0402,2
6693,1237665440982827046,2271013013030987776,204.93396,27.776456,0.028211,123.435,10.1043,0.1147,2
6694,1237662635830870088,1929860119365969920,222.281634,10.979903,0.029145,127.612,10.5259,-3.7716,2
6695,1237673705578758181,488675500688959488,116.758534,41.536219,0.028603,125.188,10.9288,-3.5053,2
6696,1237651251486785701,505605780985112576,133.162665,53.478062,0.0312,136.816,10.5007,-3.9353,2
6697,1237654953204908296,708229283843172352,251.377872,43.581639,0.031459,137.981,10.1352,-1.5262,2
6698,1237657606427115653,933482936601176064,131.423415,41.282843,0.029877,130.886,10.9989,-3.5812,2
6699,1237661362368806921,1640537371617290240,192.748014,47.671546,0.029528,129.325,10.8884,-1.8246,2
6700,1237661069240959389,1981747440172165120,133.29716,9.148154,0.029237,128.022,10.4628,-3.4341,2
6703,1237668271374336340,3116577875113830400,232.210401,13.435444,0.031439,137.889,10.2891,-3.0123,2
6704,1237665565530587377,3133438890271074304,207.932606,22.687167,0.028354,124.074,10.0742,-3.8373,2
6705,1237665016314789945,2364528680006346752,171.390893,34.225202,0.029165,127.702,10.2761,-3.9085,2
6706,1237657856073793676,994215013365344256,182.880781,51.863474,0.029423,128.855,10.2749,-0.4372,2
6707,1237655473430855875,918759927541950464,247.907965,41.493637,0.030335,132.937,10.5186,-3.2813,2
6708,1237671124305051659,2913920838157756416,152.301807,15.005118,0.030611,134.176,11.0352,-3.4234,2
6709,1237660584442986499,1390630741720721408,149.161628,8.489405,0.029997,131.425,10.085,-0.1691,2
6710,1237661465987448992,1595433755797907456,238.867557,34.177847,0.031221,136.91,10.006,-0.4467,2
6711,1237662336793182240,1583120595510388736,242.429449,30.452644,0.0307,134.573,10.676,-3.5352,2
6712,1237661949197615142,1930992627935635456,223.887801,9.158582,0.029571,129.516,10.1588,-3.9867,2
